"","Treatment","Estimate","95% CI lower bound","95% CI upper bound","Estimate","95% CI lower bound","95% CI upper bound"
"1","Aeromonas 
salmonicida",687.39,-674.005,2048.784,1996.782,808.591,3184.972
"2","Arcicella sp.",850.238,-456.004,2156.48,2757.728,1323.88,4191.576
"3","Bosea 
massiliensis",172.962,-1408.671,1754.595,1490.975,196.354,2785.595
"4","Falsiroseomonas 
stagni",151.035,-1134.218,1436.288,2378.776,1112.529,3645.023
"5","Flavobacterium 
succinicans 1",101.904,-1261.054,1464.862,2839.559,1124.015,4555.102
"6","Flavobacterium 
succinicans 2",544.471,-750.326,1839.268,2791.531,1307.777,4275.284
"7","Microbacterium 
oxydans",60.489,-1264.82,1385.799,2212.05,730.646,3693.453
"8","Ohtaekwangia 
koreensis",471.156,-964.173,1906.486,833.177,-734.544,2400.897
"9","Parasediminibacterium 
paludis",2574.861,776.995,4372.726,4369.777,2787.224,5952.329
"10","Pseudomonas 
protogens",7907.946,6359.004,9456.888,9325.024,7757.216,10892.833
"11","All 10 bacteria",3258.232,1805.229,4711.235,5086.935,3465.513,6708.357
"12","Mean of single strains",1352.24516754165,NA,NA,3099.53764684293,NA,NA
"13","Sum of single strains",13522.4516754165,NA,NA,30995.3764684293,NA,NA
